product url,product title,price,reviews,rating
https://www.daraz.pk/products/double-fish-premium-v201f-v40-volant-1-star-table-tennis-tt-ball-pack-of-10pcs-i2600317-s11027464.html?search=1,DOUBLE FISH PREMIUM V201F V40+ VOLANT 1-STAR TABLE TENNIS TT BALL - PACK OF 10PCS,Rs. 500,(18), 4.3
https://www.daraz.pk/products/pack-of-8-yonex-badminton-racket-with-6-yonex-mavis-350-plastic-shuttles-i116960405-s1269230613.html?search=1,Pack of 8- Yonex Badminton Racket with 6 Yonex Mavis 350 Plastic Shuttles,"Rs. 1,599",(13), 4.9
https://www.daraz.pk/products/pack-of-12-feather-shuttle-cocks-white-i193286133-s1386736400.html?search=1,Pack of 12 Feather Shuttle Cocks - White,Rs. 290,(20), 4.9
https://www.daraz.pk/products/pack-of-2-badminton-racket-towel-badminton-grips-i193490280-s1422706526.html?search=1,Pack of 2 Badminton Racket Towel Badminton Grips,Rs. 59,(23), 4.6
https://www.daraz.pk/products/double-circle-table-tennis-ball-pack-of-6-i119582113-s1273594359.html?search=1,Double Circle Table Tennis Ball Pack of 6,Rs. 189,(47), 4.8
https://www.daraz.pk/products/yonex-bg-65-badminton-string-gut-i143468183-s1304492275.html?search=1,yonex  BG 65 badminton string Gut,Rs. 270,(4), 4.9
https://www.daraz.pk/products/yonex-nenogy-95-badmintin-string-i203140542-s1402688387.html?search=1,Yonex nenogy 95 Badmintin String,Rs. 490,(21), 4.4
https://www.daraz.pk/products/victor-badminton-socks-i214103526-s1422845538.html?search=1,Victor - Badminton Socks,Rs. 300,(7), 4.3
https://www.daraz.pk/products/nv-new-tape-balls-tennis-balls-cricket-balls-3-pieces-multi-color-durable-balls-rubber-balls-high-performance-i208638739-s1414166899.html?search=1,NV New Tape Balls Tennis Balls Cricket Balls 3 Pieces Multi color Durable Balls rubber balls high performance,Rs. 400,(11), 4.6
https://www.daraz.pk/products/st-badminton-string-gut-with-free-gift-i202646579-s1401990319.html?search=1,ST Badminton String Gut with free gift,Rs. 300,(15), 4.7
https://www.daraz.pk/products/pack-of-9-badminton-set-multicolour-pair-of-racket-6-shuttle-with-net-included-i152172782-s1316652456.html?search=1,Pack of 9 - Badminton Set - Multicolour pair of racket 6 shuttle with net included,Rs. 979,(4), 4.3
https://www.daraz.pk/products/pack-of-9-badminton-set-multicolour-pair-of-racket-6-shuttle-with-net-included-i211814983-s1419402841.html?search=1,Pack of 9 - Badminton Set - Multicolour pair of racket 6 shuttle with net included,Rs. 999,(15), 4.5
https://www.daraz.pk/products/table-tennis-balls-60-in-1-i119848568-s1304414994.html?search=1,Table Tennis Balls (60 in 1),Rs. 999,(9), 4.2
https://www.daraz.pk/products/pack-of-12-feather-shuttle-cocks-white-i193468344-s1387044753.html?search=1,Pack of 12 - Feather Shuttle Cocks - White,Rs. 260,(22), 4.3
https://www.daraz.pk/products/pack-of-6-shield-101-table-tennis-ball-40mm-i188510608-s1378012420.html?search=1,Pack of 6 -Shield  101 Table Tennis Ball - 40mm,Rs. 135,(6), 4.5
https://www.daraz.pk/products/2-badminton-rackets-for-adults-with-2-feather-shuttles-japanese-i152498514-s1317024904.html?search=1,2 Badminton Rackets For adults with 2 feather Shuttles - Japanese,Rs. 489,(2), 4.5
https://www.daraz.pk/products/table-tennis-net-i182206994-s1363512649.html?search=1,Table Tennis Net,"Rs. 1,120",(14), 4.9
https://www.daraz.pk/products/double-fish-v103f-v40-volant-table-tennis-ball-i147596556-s1310864323.html?search=1,DOUBLE FISH V103F V40+ VOLANT TABLE TENNIS BALL,Rs. 350,(7), 4.3
https://www.daraz.pk/products/pair-of-table-tennis-rackets-with-3-balls-2-stands-and-net-i118754834-s1272108498.html?search=1,Table Tennis Racket with 3 balls Stands and Net  Butterfly fitness exercise gym gloves trimmer trimer weight lifting  runing outdoor,Rs. 750,(7), 4.7
https://www.daraz.pk/products/retractable-table-tennis-ping-pong-net-rack-grey-i1413554-s9097267.html?search=1,Retractable Table Tennis Ping Pong Net Rack - Grey,"Rs. 1,200",(9), 4.7
https://www.daraz.pk/products/pack-of-6-2021-plastic-shuttle-cocks-for-badminton-high-quality-i177042975-s1359562525.html?search=1,Pack of 6 - 2021 Plastic Shuttle Cocks for Badminton - High Quality,Rs. 895,(15), 4.6
https://www.daraz.pk/products/2-badminton-rackets-for-adults-with-2-nylon-speed-shuttles-japanese-i211820964-s1419412560.html?search=1,2 Badminton Rackets For adults with 2 nylon speed Shuttles - Japanese,Rs. 399,(18), 4.2
https://www.daraz.pk/products/2-badminton-rackets-for-kids-with-free-shuttle-i152932727-s1317566081.html?search=1,2 Badminton Rackets For Kids with free Shuttle,Rs. 399,(58), 4.4
https://www.daraz.pk/products/2-badminton-rackets-for-kids-shuttle-i182566603-s1364416852.html?search=1,2 Badminton Rackets For Kids + Shuttle,Rs. 199,(32), 4.4
https://www.daraz.pk/products/foldable-table-tennis-table-standard-size-9x5-with-net-rackets-set-and-balls-i194874143-s1389456331.html?search=1,"Foldable Table Tennis Table Standard Size 9'x5' with Net, Rackets Set and Balls","Rs. 14,499",(1), 4.6
https://www.daraz.pk/products/maxx-badminton-racket-grip-i202116736-s1401280960.html?search=1,Maxx Badminton Racket Grip,Rs. 220,(4), 4.5
https://www.daraz.pk/products/international-standard-foldable-table-tennis-table-standard-size-9x5-with-locking-wheels-net-rackets-set-and-balls-i185768505-s1371300244.html?search=1,"International Standard Foldable Table Tennis Table Standard Size 9'x5' with Locking Wheels, Net, Rackets Set and Balls","Rs. 16,999",(41), 4.7
https://www.daraz.pk/products/ping-pong-table-tennis-racket-set-with-net-and-three-balls-for-children-kids-i2231736-s10329647.html?search=1,"Ping Pong Table Tennis Racket Set With Net And Three Balls For Children, Kids",Rs. 600,(21), 4.3
https://www.daraz.pk/products/pack-of-12-feather-shuttle-cocks-white-i139376313-s1299340324.html?search=1,Pack of 12 - Feather Shuttle Cocks - White,Rs. 399,(21), 4.3
https://www.daraz.pk/products/badminton-net-parachute-no-6-172-feet-i3712473-s1245957818.html?search=1,Badminton Net Parachute No. 6 - 17*2 Feet,Rs. 309,(27), 5.0
https://www.daraz.pk/products/badminton-net-blue-i100893803-s1246288505.html?search=1,Badminton Net - Blue,Rs. 299,(12), 5.0
https://www.daraz.pk/products/wish-fusiontec-970-badminton-racket-i149734767-s1313738410.html?search=1,WISH FUSIONTEC 970 BADMINTON RACKET,"Rs. 2,600",(1), 4.3
https://www.daraz.pk/products/donic-waldner-exclusive-ar-table-tennis-blade-i208868771-s1414690698.html?search=1,DONIC WALDNER EXCLUSIVE AR+ TABLE TENNIS BLADE,"Rs. 4,950",(8), 4.5
https://www.daraz.pk/products/pack-of-60-table-tennis-balls-plastic-ping-pong-balls-training-balls-i194144512-s1421760884.html?search=1,Pack Of 60 Table Tennis Balls Plastic Ping Pong Balls Training Balls,Rs. 950,(38), 4.6
https://www.daraz.pk/products/double-fish-premium-v201f-v40-volant-1-star-table-tennis-tt-ball-pack-of-10pcs-i2600317-s11027464.html?search=1,DOUBLE FISH PREMIUM V201F V40+ VOLANT 1-STAR TABLE TENNIS TT BALL - PACK OF 10PCS,Rs. 500,(18), 4.6
https://www.daraz.pk/products/pack-of-8-yonex-badminton-racket-with-6-yonex-mavis-350-plastic-shuttles-i116960405-s1269230613.html?search=1,Pack of 8- Yonex Badminton Racket with 6 Yonex Mavis 350 Plastic Shuttles,"Rs. 1,599",(13), 4.6
https://www.daraz.pk/products/pack-of-12-feather-shuttle-cocks-white-i193286133-s1386736400.html?search=1,Pack of 12 Feather Shuttle Cocks - White,Rs. 290,(20), 4.7
https://www.daraz.pk/products/pack-of-2-badminton-racket-towel-badminton-grips-i193490280-s1422706526.html?search=1,Pack of 2 Badminton Racket Towel Badminton Grips,Rs. 59,(23), 4.8
https://www.daraz.pk/products/double-circle-table-tennis-ball-pack-of-6-i119582113-s1273594359.html?search=1,Double Circle Table Tennis Ball Pack of 6,Rs. 189,(47), 4.7
https://www.daraz.pk/products/yonex-bg-65-badminton-string-gut-i143468183-s1304492275.html?search=1,yonex  BG 65 badminton string Gut,Rs. 270,(4), 4.7
https://www.daraz.pk/products/yonex-nenogy-95-badmintin-string-i203140542-s1402688387.html?search=1,Yonex nenogy 95 Badmintin String,Rs. 490,(21), 4.6
https://www.daraz.pk/products/victor-badminton-socks-i214103526-s1422845538.html?search=1,Victor - Badminton Socks,Rs. 300,(7), 5.0
https://www.daraz.pk/products/nv-new-tape-balls-tennis-balls-cricket-balls-3-pieces-multi-color-durable-balls-rubber-balls-high-performance-i208638739-s1414166899.html?search=1,NV New Tape Balls Tennis Balls Cricket Balls 3 Pieces Multi color Durable Balls rubber balls high performance,Rs. 400,(11), 4.6
https://www.daraz.pk/products/st-badminton-string-gut-with-free-gift-i202646579-s1401990319.html?search=1,ST Badminton String Gut with free gift,Rs. 300,(15), 4.8
https://www.daraz.pk/products/pack-of-9-badminton-set-multicolour-pair-of-racket-6-shuttle-with-net-included-i152172782-s1316652456.html?search=1,Pack of 9 - Badminton Set - Multicolour pair of racket 6 shuttle with net included,Rs. 979,(4), 4.3
https://www.daraz.pk/products/pack-of-9-badminton-set-multicolour-pair-of-racket-6-shuttle-with-net-included-i211814983-s1419402841.html?search=1,Pack of 9 - Badminton Set - Multicolour pair of racket 6 shuttle with net included,Rs. 999,(15), 4.8
https://www.daraz.pk/products/table-tennis-balls-60-in-1-i119848568-s1304414994.html?search=1,Table Tennis Balls (60 in 1),Rs. 999,(9), 4.7
https://www.daraz.pk/products/pack-of-12-feather-shuttle-cocks-white-i193468344-s1387044753.html?search=1,Pack of 12 - Feather Shuttle Cocks - White,Rs. 260,(22), 4.7
https://www.daraz.pk/products/pack-of-6-shield-101-table-tennis-ball-40mm-i188510608-s1378012420.html?search=1,Pack of 6 -Shield  101 Table Tennis Ball - 40mm,Rs. 135,(6), 4.5
https://www.daraz.pk/products/2-badminton-rackets-for-adults-with-2-feather-shuttles-japanese-i152498514-s1317024904.html?search=1,2 Badminton Rackets For adults with 2 feather Shuttles - Japanese,Rs. 489,(2), 4.3
https://www.daraz.pk/products/table-tennis-net-i182206994-s1363512649.html?search=1,Table Tennis Net,"Rs. 1,120",(14), 4.5
https://www.daraz.pk/products/double-fish-v103f-v40-volant-table-tennis-ball-i147596556-s1310864323.html?search=1,DOUBLE FISH V103F V40+ VOLANT TABLE TENNIS BALL,Rs. 350,(7), 4.9
https://www.daraz.pk/products/pair-of-table-tennis-rackets-with-3-balls-2-stands-and-net-i118754834-s1272108498.html?search=1,Table Tennis Racket with 3 balls Stands and Net  Butterfly fitness exercise gym gloves trimmer trimer weight lifting  runing outdoor,Rs. 750,(7), 4.5
https://www.daraz.pk/products/retractable-table-tennis-ping-pong-net-rack-grey-i1413554-s9097267.html?search=1,Retractable Table Tennis Ping Pong Net Rack - Grey,"Rs. 1,200",(9), 4.8
https://www.daraz.pk/products/pack-of-6-2021-plastic-shuttle-cocks-for-badminton-high-quality-i177042975-s1359562525.html?search=1,Pack of 6 - 2021 Plastic Shuttle Cocks for Badminton - High Quality,Rs. 895,(15), 4.2
https://www.daraz.pk/products/2-badminton-rackets-for-adults-with-2-nylon-speed-shuttles-japanese-i211820964-s1419412560.html?search=1,2 Badminton Rackets For adults with 2 nylon speed Shuttles - Japanese,Rs. 399,(18), 4.5
https://www.daraz.pk/products/2-badminton-rackets-for-kids-with-free-shuttle-i152932727-s1317566081.html?search=1,2 Badminton Rackets For Kids with free Shuttle,Rs. 399,(58), 4.4
https://www.daraz.pk/products/2-badminton-rackets-for-kids-shuttle-i182566603-s1364416852.html?search=1,2 Badminton Rackets For Kids + Shuttle,Rs. 199,(32), 4.5
https://www.daraz.pk/products/foldable-table-tennis-table-standard-size-9x5-with-net-rackets-set-and-balls-i194874143-s1389456331.html?search=1,"Foldable Table Tennis Table Standard Size 9'x5' with Net, Rackets Set and Balls","Rs. 14,499",(1), 4.6
https://www.daraz.pk/products/maxx-badminton-racket-grip-i202116736-s1401280960.html?search=1,Maxx Badminton Racket Grip,Rs. 220,(4), 4.7
https://www.daraz.pk/products/international-standard-foldable-table-tennis-table-standard-size-9x5-with-locking-wheels-net-rackets-set-and-balls-i185768505-s1371300244.html?search=1,"International Standard Foldable Table Tennis Table Standard Size 9'x5' with Locking Wheels, Net, Rackets Set and Balls","Rs. 16,999",(41), 4.6
https://www.daraz.pk/products/ping-pong-table-tennis-racket-set-with-net-and-three-balls-for-children-kids-i2231736-s10329647.html?search=1,"Ping Pong Table Tennis Racket Set With Net And Three Balls For Children, Kids",Rs. 600,(21), 4.4
https://www.daraz.pk/products/pack-of-12-feather-shuttle-cocks-white-i139376313-s1299340324.html?search=1,Pack of 12 - Feather Shuttle Cocks - White,Rs. 399,(21), 4.2
https://www.daraz.pk/products/badminton-net-parachute-no-6-172-feet-i3712473-s1245957818.html?search=1,Badminton Net Parachute No. 6 - 17*2 Feet,Rs. 309,(27), 4.8
https://www.daraz.pk/products/badminton-net-blue-i100893803-s1246288505.html?search=1,Badminton Net - Blue,Rs. 299,(12), 4.7
https://www.daraz.pk/products/wish-fusiontec-970-badminton-racket-i149734767-s1313738410.html?search=1,WISH FUSIONTEC 970 BADMINTON RACKET,"Rs. 2,600",(1), 4.4
https://www.daraz.pk/products/donic-waldner-exclusive-ar-table-tennis-blade-i208868771-s1414690698.html?search=1,DONIC WALDNER EXCLUSIVE AR+ TABLE TENNIS BLADE,"Rs. 4,950",(8), 4.7
https://www.daraz.pk/products/pack-of-60-table-tennis-balls-plastic-ping-pong-balls-training-balls-i194144512-s1421760884.html?search=1,Pack Of 60 Table Tennis Balls Plastic Ping Pong Balls Training Balls,Rs. 950,(38), 4.6
https://www.daraz.pk/products/double-fish-premium-v201f-v40-volant-1-star-table-tennis-tt-ball-pack-of-10pcs-i2600317-s11027464.html?search=1,DOUBLE FISH PREMIUM V201F V40+ VOLANT 1-STAR TABLE TENNIS TT BALL - PACK OF 10PCS,Rs. 500,(18), 4.3
https://www.daraz.pk/products/pack-of-8-yonex-badminton-racket-with-6-yonex-mavis-350-plastic-shuttles-i116960405-s1269230613.html?search=1,Pack of 8- Yonex Badminton Racket with 6 Yonex Mavis 350 Plastic Shuttles,"Rs. 1,599",(13), 4.4
https://www.daraz.pk/products/pack-of-12-feather-shuttle-cocks-white-i193286133-s1386736400.html?search=1,Pack of 12 Feather Shuttle Cocks - White,Rs. 290,(20), 4.5
https://www.daraz.pk/products/pack-of-2-badminton-racket-towel-badminton-grips-i193490280-s1422706526.html?search=1,Pack of 2 Badminton Racket Towel Badminton Grips,Rs. 59,(23), 4.6
https://www.daraz.pk/products/double-circle-table-tennis-ball-pack-of-6-i119582113-s1273594359.html?search=1,Double Circle Table Tennis Ball Pack of 6,Rs. 189,(47), 4.8
https://www.daraz.pk/products/yonex-bg-65-badminton-string-gut-i143468183-s1304492275.html?search=1,yonex  BG 65 badminton string Gut,Rs. 270,(4), 4.5
https://www.daraz.pk/products/yonex-nenogy-95-badmintin-string-i203140542-s1402688387.html?search=1,Yonex nenogy 95 Badmintin String,Rs. 490,(21), 4.8
https://www.daraz.pk/products/victor-badminton-socks-i214103526-s1422845538.html?search=1,Victor - Badminton Socks,Rs. 300,(7), 4.7
https://www.daraz.pk/products/nv-new-tape-balls-tennis-balls-cricket-balls-3-pieces-multi-color-durable-balls-rubber-balls-high-performance-i208638739-s1414166899.html?search=1,NV New Tape Balls Tennis Balls Cricket Balls 3 Pieces Multi color Durable Balls rubber balls high performance,Rs. 400,(11), 4.8
https://www.daraz.pk/products/st-badminton-string-gut-with-free-gift-i202646579-s1401990319.html?search=1,ST Badminton String Gut with free gift,Rs. 300,(15), 4.6
https://www.daraz.pk/products/pack-of-9-badminton-set-multicolour-pair-of-racket-6-shuttle-with-net-included-i152172782-s1316652456.html?search=1,Pack of 9 - Badminton Set - Multicolour pair of racket 6 shuttle with net included,Rs. 979,(4), 4.9
https://www.daraz.pk/products/pack-of-9-badminton-set-multicolour-pair-of-racket-6-shuttle-with-net-included-i211814983-s1419402841.html?search=1,Pack of 9 - Badminton Set - Multicolour pair of racket 6 shuttle with net included,Rs. 999,(15), 4.3
https://www.daraz.pk/products/table-tennis-balls-60-in-1-i119848568-s1304414994.html?search=1,Table Tennis Balls (60 in 1),Rs. 999,(9), 4.9
https://www.daraz.pk/products/pack-of-12-feather-shuttle-cocks-white-i193468344-s1387044753.html?search=1,Pack of 12 - Feather Shuttle Cocks - White,Rs. 260,(22), 4.9
https://www.daraz.pk/products/pack-of-6-shield-101-table-tennis-ball-40mm-i188510608-s1378012420.html?search=1,Pack of 6 -Shield  101 Table Tennis Ball - 40mm,Rs. 135,(6), 4.6
https://www.daraz.pk/products/2-badminton-rackets-for-adults-with-2-feather-shuttles-japanese-i152498514-s1317024904.html?search=1,2 Badminton Rackets For adults with 2 feather Shuttles - Japanese,Rs. 489,(2), 4.6
https://www.daraz.pk/products/table-tennis-net-i182206994-s1363512649.html?search=1,Table Tennis Net,"Rs. 1,120",(14), 4.4
https://www.daraz.pk/products/double-fish-v103f-v40-volant-table-tennis-ball-i147596556-s1310864323.html?search=1,DOUBLE FISH V103F V40+ VOLANT TABLE TENNIS BALL,Rs. 350,(7), 4.7
https://www.daraz.pk/products/pair-of-table-tennis-rackets-with-3-balls-2-stands-and-net-i118754834-s1272108498.html?search=1,Table Tennis Racket with 3 balls Stands and Net  Butterfly fitness exercise gym gloves trimmer trimer weight lifting  runing outdoor,Rs. 750,(7), 4.5
https://www.daraz.pk/products/retractable-table-tennis-ping-pong-net-rack-grey-i1413554-s9097267.html?search=1,Retractable Table Tennis Ping Pong Net Rack - Grey,"Rs. 1,200",(9), 4.2
https://www.daraz.pk/products/pack-of-6-2021-plastic-shuttle-cocks-for-badminton-high-quality-i177042975-s1359562525.html?search=1,Pack of 6 - 2021 Plastic Shuttle Cocks for Badminton - High Quality,Rs. 895,(15), 4.3
https://www.daraz.pk/products/2-badminton-rackets-for-adults-with-2-nylon-speed-shuttles-japanese-i211820964-s1419412560.html?search=1,2 Badminton Rackets For adults with 2 nylon speed Shuttles - Japanese,Rs. 399,(18), 4.4
